"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","3978497",""
"United States of America","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","325955",""
"United States of America","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","298058",""
"United States of America","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","328923",""
"United States of America","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","320832",""
"United States of America","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","327917",""
"United States of America","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","330541",""
"United States of America","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","353415",""
"United States of America","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","351791",""
"United States of America","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","347516",""
"United States of America","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","339007",""
"United States of America","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","318820",""
"United States of America","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","335722",""
"United States of America","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","3988076",""
"United States of America","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","326366",""
"United States of America","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","298404",""
"United States of America","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","323572",""
"United States of America","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","318990",""
"United States of America","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","334613",""
"United States of America","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","325981",""
"United States of America","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","355524",""
"United States of America","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","354257",""
"United States of America","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","348424",""
"United States of America","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","343356",""
"United States of America","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","317998",""
"United States of America","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","340591",""
"United States of America","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","3932181",""
"United States of America","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","323691",""
"United States of America","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","291748",""
"United States of America","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","320529",""
"United States of America","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","311645",""
"United States of America","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","329520",""
"United States of America","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","319779",""
"United States of America","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","349158",""
"United States of America","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","353485",""
"United States of America","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","338008",""
"United States of America","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","340562",""
"United States of America","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","318482",""
