"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1375,1450,1500,1495,1497.5,1500,1350,1347.5,1375,1392.5,1250,1295,1295,1295,1300,1295,1295,1250,1200,1200,1195,1150,1195,1250,1300,1300,1305,1315,1300,1325,1355,1395,1395,1335,1350,1435,1475,1450,1475,1450,1400,1395,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1525,1575,1595,1595,1595,1629,1610,1675,1695,1695,1700,1750,1750,1783,1785,1750,1844,1795,1850,1895,1901.5,1915,1889.5,1895,1944,1800,1850,1795,1795,1795,1868,1940,1995,1995,1975,1995,2000,1995,1990,1995,1971,1975,1950,1975,1975,1925,2000,2095,2122
"Cook","IL","Chicago","17","031",2,,1100,1130.5,1100,1099,1020.5,985,1127.5,1295,1300,1343,1150,1240,1215,1249,1268.5,1350,1300,1275,1299,1295,1290,1315,1330,1275,1200,1175,1250,1300,1300,1300,1375,1425,1392,1425,1420,1540,1455,1495,1504,1548,1550,1550,1525,1500,1550,1607.5,1595,1500,1477,1450,1435,1485,1602,1450,1640,1669,1635,1425,1550,1625,1450,1450,1465,1450,1400,1420,1595,1662,1757,1674,1620,1690,1545,1500,1495,1461,1425,1430,1449,1426,1500,1500,1470,1460,1470,1450,1475,1475,1470,1485,1550,1585,1595,1550,1540,1544,1540,1545,1543,1527,1550
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,1032,999,1035,1123,1134,1120,1105,1143,1156,1099,1090,1085,1100,1108,1129.5,1158,1152,1150,1145,1151.5,1160,1295,1289,1299,1225,1250,1215,1214,1193,1159,1120,1150,1106,1050,1095,1122,1166,1195,1199,1203,1185,1181,1195,1206,1218,1230,1245,1249,1272,1277,1270,1261,1263,1260
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,650,650,645,650,662.5,659,650,650,659,675,689,675,673,675,680,699,696,699,700,690,688,695,699,695,688.5,688,697,688,689,679.5,680,700,732.5,725,725,735,723,725,708,725,710,719.5,730,745,750,759,775,797,785,795,795,800,816,802,815,929,920,900,946.5,925,925,977,895.5,920,925.5,896,863,855,920,970,1069,1095,1035,1025.5,1010,985,981,975,975,960,960,980,1009,1030,1030,1036.5,1050
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,1250,1250,1226.5,1200,1225,1250,1295,1350,1354,1275,1200,1215,1248,1250,1295,1245,1240,1250,1248,1250,1295,1285,1305,1295,1225,1245,1245,1244,1225,1200,1100,1175,1295,1245,1175,1300,1350,1300,1295,1350,1500,1495,1478,1500,1500,1510,1550,1502,1590,1625,1567.5,1595,1600,1610,1640,1680,1695,1649,1648,1650,1650,1650,1695,1655,1600,1613,1815,1641.5,1744,1610,1620,1600,1654,1695,1730,1750,1775,1775,1794,1780.5,1780,1754,1745,1726.5,1750,1770.5,1777,1852,1895,1915,1935
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1395,1387.5,1400,1395,1395,1597.5,1650,1397,1325,1350,1350,1350,1350,1350,1350,1395,1435,1395,1395,1395,1325,1350,1375.5,1365,1350,1350,1350,1355,1374,1376,1372,1405,1370,1379,1365,1380,1399,1427.5,1400,1398,1400,1375,1400,1495,1500,1490,1626,1605,1590,1585,1590,1605,1600,1600,1627,1670,1725,1730,1730,1730,1740,1720,1715,1721,1720,1730,1736,1745,1765,1770,1795,1805,1830,1850,1818.5,1835,1828,1822,1818,1855,1810,1855,1830,1870,1905,1905,1910,1930,1930,1929,1948.5,1945,1950,1960,1927,1925,1945,1955,1965,1985,1980,1980
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2099,2100,2147,2100,2150,2100,2100,2000,2000,2000,2000,2000,2100,2100,2100,2100
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,1450,1450,1450,1400,1400,1350,1400,1500,1475,1450,1475,1425,1400,1425,1425,1450,1450,1400,1400,1450,1400,1450,1500,1499,1500,1500,1500,1550,1550,1550,1549,1500,1500,1499,1500,1500,1500,1550,1600,1600,1650,1750,1750,1650,1667.5,1699.5,1700,1689.5,1695,1650,1600,1650,1675,1700,1688,1675,1650,1699,1700,1700,1736.5,1800,1800,1850,1900,1850,1900,1850,1850,1879,1875,1900,1900,1900,1850,1850,1825,1800,1782,1800,1800,1825,1750,1795,1775,1799,1785,1790,1799.5,1795,1800,1800,1800,1800,1765.5,1790,1800,1800,1810,1850,1850,1831
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,1267.5,1215,1260,1149,950,950,919,899.5,920,919,837.5,845,745.5,704,809,845,897,950,865,920,950,920,885,950,949,968,1024,1104,1009,1030,1034,1000,1040,1055,995,1060,1095,1125,1122,1150,1105,1100,1128,1100,1135,1098,1060,1045,1059,1141,1150,1119,1100,1100,1125,1125,1138,1150,1150,1189,1168,1200,1200,1200,1209,1241,1227,1201,1209,1189,1189.5,1279,1220,1209.5,1156.5,1271.5,1280,1284,1275,1290,1300,1306,1315,1294,1280,1315,1295,1299,1335.5,1310,1297,1333,1340,1350
"Queens","NY","New York","36","081",10,1200,1200,1300,1287.5,1300,1300,1300,1350,1400,1400,1450,1375,1375,1400,1400,1405,1425,1450,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1550,1575,1575,1551,1550,1595,1600,1600,1625,1675,1741.5,1750,1760,1750,1717,1750,1750,1750,1750,1750,1800,1825,1850,1800,1800,1800,1800,1795,1780,1795,1795,1800,1800,1800,1850,1850,1850,1800,1850,1850,1850,1850,1850,1850,1900,1875,1900,1900,1900,1940,1975,1850,1850,1750,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1795,1800,1800,1800,1800,1800,1800
